University,City,State,Lat,Long
Arizona State University,Tempe[a],AZ,33.4255,-111.94
Auburn University,Auburn,AL,32.6099,-85.4808
Baylor University,Waco,TX,31.5493,-97.1467
Binghamton University,Vestal[b],NY,42.0841,-76.054167
Boston College,Chestnut Hill,MA,42.3329,-71.1728
Boston University,Boston,MA,42.3601,-71.0589
Brandeis University,Waltham,MA,42.3765,-71.2356
Brown University,Providence,RI,41.824,-71.4128
California Institute of Technology,Pasadena,CA,34.1478,-118.1445
Carnegie Mellon University,Pittsburgh,PA,40.4406,-79.9959
Case Western Reserve University,Cleveland,OH,41.4993,-81.6944
Clemson University,Clemson,SC,34.6834,-82.8374
Colorado School of Mines,Golden,CO,39.7555,-105.2211
Colorado State University,Fort Collins,CO,40.5853,-105.0844
Columbia University,New York City[c],NY,40.73061,-73.935242
Cornell University,Ithaca,NY,42.444,-76.5019
Dartmouth College,Hanover,NH,43.7022,-72.2896
Drexel University,Philadelphia,PA,39.9526,-75.1652
Duke University,Durham,NC,35.994,-78.8986
Emory University,Atlanta,GA,33.7488,-84.3877
Florida International University,Miami[d],FL,25.7617,-80.1918
Florida State University,Tallahassee,FL,30.4382,-84.2806
George Mason University,Fairfax[e],VA,38.8515,-77.3025
George Washington University,"Washington, D.C.",DC,38.9072,-77.0369
Georgetown University,"Washington, D.C.",DC,38.9072,-77.0369
Georgia Institute of Technology,Atlanta,GA,33.7488,-84.3877
Georgia State University,Atlanta,GA,33.7488,-84.3877
"Graduate Center, CUNY",New York City[c],NY,40.73061,-73.935242
Harvard University,Cambridge,MA,42.3736,-71.1097
Indiana University Bloomington,Bloomington,IN,39.1653,-86.5264
Iowa State University,Ames,IA,42.0308,-93.6319
Johns Hopkins University,Baltimore,MD,39.2904,-76.6122
Kansas State University,Manhattan,KS,39.1836,-96.5717
Kent State University,Kent,OH,41.1537,-81.3579
Louisiana State University,Baton Rouge,LA,30.4515,-91.1871
Massachusetts Institute of Technology,Cambridge,MA,42.3736,-71.1097
Michigan State University,East Lansing,MI,42.737,-84.4839
Mississippi State University,Mississippi State,MS,33.4555,-88.7904
Montana State University,Bozeman,MT,45.6793,-111.0373
New Jersey Institute of Technology,Newark,NJ,40.7357,-74.1724
New York University,New York City[c],NY,40.73061,-73.935242
North Carolina State University,Raleigh,NC,35.7796,-78.6382
North Dakota State University,Fargo,ND,46.8772,-96.7898
Northeastern University,Boston,MA,42.3601,-71.0589
Northwestern University,Evanston,IL,42.0451,-87.6877
Ohio State University,Columbus,OH,39.9612,-82.9988
Ohio University,Athens,OH,39.3292,-82.1013
Oklahoma State University–Stillwater,Stillwater,OK,36.145,-97.0068
Old Dominion University,Norfolk,VA,36.8508,-76.2859
Oregon State University,Corvallis,OR,44.5646,-123.262
Pennsylvania State University,University Park,PA,40.8148,-77.8653
Princeton University,Princeton,NJ,40.3573,-74.6672
Purdue University,West Lafayette,IN,40.4259,-86.9081
Rensselaer Polytechnic Institute,Troy,NY,42.7284,-73.6918
Rice University,Houston,TX,29.7604,-95.3698
Rutgers University–New Brunswick,New Brunswick,NJ,40.4862,-74.4518
Stanford University,Stanford,CA,37.4241,-122.1661
Stony Brook University,Stony Brook,NY,40.9257,-73.1409
Syracuse University,Syracuse,NY,43.0481,-76.1474
Temple University,Philadelphia,PA,39.9526,-75.1652
Texas A&M University,College Station,TX,30.628,-96.3344
Texas Tech University,Lubbock,TX,33.5778,-101.8553
Tufts University,Medford,MA,42.4184,-71.1062
Tulane University,New Orleans,LA,29.9511,-90.0715
"University at Albany, SUNY",Albany,NY,42.6526,-73.7562
University at Buffalo,Buffalo[g],NY,42.88023,-78.878738
University of Alabama,Tuscaloosa,AL,33.2098,-87.5692
University of Alabama at Birmingham,Birmingham,AL,33.5186,-86.8104
University of Alabama in Huntsville,Huntsville,AL,34.7304,-86.5861
University of Arizona,Tucson,AZ,32.254,-110.9742
University of Arkansas,Fayetteville,AR,36.0627,-94.1606
"University of California, Berkeley",Berkeley,CA,37.8715,-122.273
"University of California, Davis",Davis,CA,38.5449,-121.7405
"University of California, Irvine",Irvine,CA,33.6846,-117.8265
"University of California, Los Angeles",Los Angeles,CA,34.0549,-118.2426
"University of California, Riverside",Riverside,CA,33.9806,-117.3755
"University of California, San Diego",San Diego[h],CA,32.715736,-117.161087
"University of California, Santa Barbara",Santa Barbara[i],CA,34.4208,-119.6982
"University of California, Santa Cruz",Santa Cruz,CA,36.9741,-122.0308
University of Central Florida,Orlando[j],FL,28.538336,-81.379234
University of Chicago,Chicago,IL,41.8781,-87.6298
University of Cincinnati,Cincinnati,OH,39.1031,-84.512
University of Colorado Boulder,Boulder,CO,40.015,-105.2705
University of Colorado Denver,Denver,CO,39.7392,-104.9903
University of Connecticut,Storrs,CT,41.8084,-72.2495
University of Delaware,Newark,DE,39.6837,-75.7497
University of Denver,Denver,CO,39.7392,-104.9903
University of Florida,Gainesville,FL,29.652,-82.325
University of Georgia,Athens,GA,33.9519,-83.3576
University of Hawaii at Manoa,Honolulu,HI,21.3099,-157.8581
University of Houston,Houston,TX,29.7604,-95.3698
University of Illinois Chicago,Chicago,IL,41.8781,-87.6298
University of Illinois Urbana-Champaign,Champaign/Urbana[l],IL,40.113159,-88.211105
University of Iowa,Iowa City,IA,41.6578,-91.5346
University of Kansas,Lawrence,KS,38.9717,-95.2353
University of Kentucky,Lexington,KY,38.0406,-84.5037
University of Louisiana at Lafayette,Lafayette,LA,30.2241,-92.0198
University of Louisville,Louisville,KY,38.2527,-85.7585
University of Maine,Orono,ME,44.8831,-68.6719
"University of Maryland, Baltimore County",Baltimore[m],MD,39.2904,-76.6122
"University of Maryland, College Park",College Park,MD,38.9897,-76.9378
University of Massachusetts Amherst,Amherst,MA,42.3732,-72.5199
University of Memphis,Memphis,TN,35.1495,-90.049
University of Miami,Coral Gables,FL,25.7492,-80.2635
University of Michigan,Ann Arbor,MI,42.2808,-83.743
University of Minnesota,Minneapolis,MN,44.9778,-93.265
University of Mississippi,University,MS,34.3662,-89.538
University of Missouri,Columbia,MO,38.9517,-92.3341
University of Montana,Missoula,MT,46.8721,-113.994
University of Nebraska–Lincoln,Lincoln,NE,40.8137,-96.7026
"University of Nevada, Las Vegas",Las Vegas[n],NV,36.1716,-115.1391
"University of Nevada, Reno",Reno,NV,39.5299,-119.8143
University of New Hampshire,Durham,NH,43.134,-70.9264
University of New Mexico,Albuquerque,NM,35.0844,-106.6504
University of North Carolina at Chapel Hill,Chapel Hill,NC,35.9132,-79.0558
University of North Texas,Denton,TX,33.2148,-97.1331
University of Notre Dame,Notre Dame,IN,41.7051,-86.2355
University of Oklahoma,Norman,OK,35.2226,-97.4395
University of Oregon,Eugene,OR,44.0521,-123.0868
University of Pennsylvania,Philadelphia,PA,39.9526,-75.1652
University of Pittsburgh,Pittsburgh,PA,40.4406,-79.9959
University of Rochester,Rochester,NY,43.1566,-77.6088
University of South Carolina,Columbia,SC,34.0007,-81.0348
University of South Florida,Tampa,FL,27.9517,-82.4588
University of Southern California,Los Angeles,CA,34.0549,-118.2426
University of Southern Mississippi,Hattiesburg,MS,31.3271,-89.2903
University of Tennessee,Knoxville,TN,35.9606,-83.9207
University of Texas at Arlington,Arlington,TX,32.7357,-97.1081
University of Texas at Austin,Austin,TX,30.2672,-97.7431
University of Texas at Dallas,Richardson,TX,32.9483,-96.7299
University of Texas at El Paso,El Paso,TX,31.7619,-106.485
University of Texas at San Antonio,San Antonio,TX,29.4252,-98.4946
University of Utah,Salt Lake City,UT,40.7608,-111.891
University of Virginia,Charlottesville,VA,38.0293,-78.4767
University of Washington,Seattle,WA,47.6061,-122.3328
University of Wisconsin–Madison,Madison,WI,43.0722,-89.4008
University of Wisconsin–Milwaukee,Milwaukee,WI,43.0389,-87.9065
Utah State University,Logan,UT,41.737,-111.8338
Vanderbilt University,Nashville,TN,36.1627,-86.7816
Virginia Commonwealth University,Richmond,VA,37.5407,-77.436
Virginia Tech,Blacksburg,VA,37.2296,-80.4139
Washington State University,Pullman,WA,46.7298,-117.1817
Washington University in St. Louis,St. Louis,MO,38.627,-90.1994
Wayne State University,Detroit,MI,42.3314,-83.0458
West Virginia University,Morgantown,WV,39.6295,-79.9559
Yale University,New Haven,CT,41.3083,-72.9279