"","Species","Afrotropic","Antarctic","Australasia","Indo-Malay","Nearctic","Neotropic","Oceania","Palearctic"
"4","Drosophila_affinis",6640373.66135126,14546.0203062235,2048360.32010852,2190647.12941596,842073.629200221,6790916.67121755,44617.1781144233,4347746.79434782
"9","Drosophila_anceps",2204948.58718444,0,535304.656842576,713147.058181879,7458.76409943537,2035852.06600521,34765.1344466992,57753.3652364377
"11","Drosophila_arizonae",9796815.31512003,0,1683139.12461312,3744367.7898372,143002.980684904,12854370.9846452,41729.4926865576,335869.473838729
"13","Drosophila_auraria",1708831.75253062,15323.9037521254,1039585.88249285,779529.477080154,469075.034561032,3271715.20564326,18408.2451971416,3303446.28304788
"14","Drosophila_azteca",2897235.37606227,0,1049496.33288371,1018682.06364972,126932.246436114,2867088.63929742,37346.122423661,582729.296324866
"20","Drosophila_bipectinata",5004297.98836044,0,1167339.39322605,2044999.90028497,1227.23653657859,6647913.58936916,36902.3340497361,5382.39730537743
"21","Drosophila_birchii",1900971.56697692,0,518980.547624433,594473.832974545,604.657918644752,1352749.05360541,35474.7302767537,18390.4423690537
"24","Drosophila_bunnanda",1980604.98549057,0,589722.857415888,746558.342977874,0,1229195.55934279,34314.7233285587,0
"25","Drosophila_busckii",751003.793976768,10311.42479679,716395.750793678,374647.745806213,233589.24318311,1689834.9958371,11581.6873593639,1405999.47712277
"26","Drosophila_buzzatii",3033344.48301117,0,694006.679143216,886551.50051459,12032.425931635,2580505.16702586,37396.3589168433,105605.864309852
"28","Drosophila_cardini",2091168.45067272,0,546481.857062327,628420.500180351,604.657918644752,1465087.0183475,35801.9409925536,21184.2522556108
"29","Drosophila_diplacantha",872358.288731521,0,525155.642344012,787867.312522209,0,1340903.35585031,21765.6294889135,0
"32","Drosophila_emarginata",215694.154794354,0,177972.284821397,235023.215189479,0,223804.631385663,12973.5044540864,0
"34","Drosophila_equinoxialis",1099886.8786454,0,501447.618892785,682573.146228372,0,962229.197736359,23370.9813461687,0
"36","Drosophila_erecta",1883595.57469945,0,575642.675948731,709710.289585799,0,1143517.20842763,34314.7233285587,0
"37","Drosophila_eugracilis",3516911.06937987,0,1062182.73005768,1785357.01638322,0,5247926.17007372,33373.3302320926,0
"39","Drosophila_ezoana",68266.1550328614,36002.3666615722,363131.484876015,100587.000994281,1155174.33529822,1804433.7586918,4837.00586055221,3418288.38923247
"42","Drosophila_funebris",132227.496932583,15846.929901122,468180.012201137,123489.736388547,278328.343613412,1517681.14434855,6119.63777382851,1627936.61291576
"44","Drosophila_greeni",2924949.46347628,0,834069.159914837,1412826.32799099,0,3531574.35059125,32734.5306135542,0
"45","Drosophila_guttifera",8994738.04245273,11121.0032806853,2653665.48646823,3437542.56201905,852049.496890339,10130972.0050017,44956.0562761959,3834330.58839594
"46","Drosophila_hydei",765992.58812845,713.587500756866,680033.423810252,372861.727670904,172739.469283752,1501730.47170763,11904.637457905,1004108.16135899
"48","Drosophila_immigrans",731780.196447209,939.252569940063,678883.634609028,359830.788510545,177663.251252744,1496856.57288935,11581.6873593639,1052155.29343428
"51","Drosophila_kanekoi",612364.940257928,18734.2153420283,724756.510057246,348142.441423477,537489.436228307,2535766.84442073,10291.7870015953,3460496.94214189
"53","Drosophila_kikkawai",4691119.04290359,0,873153.256299154,1325306.43380912,1834.81679076234,4020464.64108768,40119.0504156436,55523.3199201541
"59","Drosophila_littoralis",63265.1676996832,18369.9850679559,348166.793045555,74702.482475358,289030.254418468,1441154.95983716,4515.03758110471,1362505.09539655
"62","Drosophila_lutescens",2119970.35360909,12615.5114757947,1118375.88597394,914803.949224971,383466.143298837,3191380.72976978,27195.2285495448,2425303.91613142
"63","Drosophila_malerkotliana",4651293.38893129,0,1112850.53423466,1871731.23004723,306.156007522545,5774696.17701547,36902.3340497361,3800.67057918581
"64","Drosophila_mauritiana",738809.294470552,0,356836.873985234,404748.693409054,0,461134.315992608,27478.4839349319,0
"68","Drosophila_melanica",9419783.67878154,11121.0032806853,2814967.6316992,3691303.07452666,933888.120241495,10974497.221837,44956.0562761959,3962238.51336425
"69","Drosophila_melanogaster",1216278.02058911,238.814784324707,781097.866856375,553701.489819907,179719.570045258,1857306.71019478,15149.9506115115,965002.599501365
"70","Drosophila_mercatorum",1297973.38412177,0,374434.081316197,470499.088801047,904.886563117538,1267514.32446334,24641.1847649007,23190.6183475612
"74","Drosophila_mojavensis",12106340.8057317,0,2298473.03642613,4366897.07266233,298160.274428142,15110047.6345464,43020.3085700972,929500.330289891
"75","Drosophila_montana",146001.331284355,28090.8396803588,483769.893086864,159225.261669539,867406.416668141,2106014.43533004,6119.63777382851,3971912.93906539
"77","Drosophila_nannoptera",2388852.90712924,0,547648.323571532,720876.519354862,1806.28866633469,2005427.07841802,35120.6976434234,39563.4241007782
"79","Drosophila_nasuta",5126907.9498507,0,1171830.49312204,2026292.2386604,920.642529311836,6540980.99552049,37547.5608739134,19211.8765003199
"80","Drosophila_navojoa",7123118.63557577,0,1330748.47756844,2804550.71929082,1534.26596360394,10919299.5829969,37547.5608739134,26409.7906658557
"86","Drosophila_orena",416863.759167732,0,277630.200408972,309739.963452913,0,273235.49660791,22257.9940852538,0
"91","Drosophila_pallidosa",0,0,22826.9853618299,19085.288057021,0,6072.66203576988,6275.49963098591,0
"93","Drosophila_parabipectinata",2152305.34752946,0,957922.142750211,1597444.95143133,0,4238314.09909536,25990.1949332678,0
"96","Drosophila_paulistorum",993053.461269994,0,410244.222977389,459438.484546655,0,536637.35169529,27822.1432926972,0
"98","Drosophila_persimilis",947948.905031728,11840.8399390211,788810.222313093,462555.207040785,278910.182843022,2025560.0715068,12872.7732439399,1686583.20426192
"100","Drosophila_phalerata",60388.0429487632,14546.0203062235,336699.093854253,59578.1802297553,182250.512377689,1012501.65795454,4837.00586055221,780214.701985189
"104","Drosophila_pseudoananassae",1691421.67264976,0,555592.104074106,734655.449912318,0,1143619.61247916,30179.4141043053,0
"111","Drosophila_repleta",1673854.86525198,0,694275.148299696,675978.21660097,51952.6390075657,1962145.74254229,24598.5236977925,255109.229960001
"112","Drosophila_robusta",4825191.58300584,16093.3829288788,1728257.6871006,1623777.21909893,960560.971860107,5500736.70359646,42259.9073028152,5188860.90955672
"114","Drosophila_rufa",3688550.91272418,713.587500756866,1423613.60299499,1305172.17496586,347417.404965466,3743380.55733586,40296.5800848582,1876611.01426736
"115","Drosophila_santomea",669.103256085286,0,22169.1750049359,34095.2648416474,0,3054.14477626323,1324.88750162457,0
"116","Drosophila_sechellia",0,0,0,0,0,0,0,0
"118","Drosophila_serrata",2362675.4640975,0,555288.449658294,703627.771533911,1521.36103807537,1938542.78087446,35782.1997384413,35775.8969276012
"119","Drosophila_simulans",1382080.0996498,0,561670.489121859,553973.048601375,24710.032198751,1656293.71268543,17117.7458299569,116429.902285793
"120","Drosophila_sordidula",895365.185123086,18369.9850679559,825774.935167321,463774.010334537,581876.302734442,2816586.76670127,12872.7732439399,3775492.8079122
"123","Drosophila_suzukii",1940000.65281185,13482.0802619267,1082891.08178427,847499.501474934,396543.854924107,3146709.56370755,23594.8373204946,2580083.59625763
"126","Drosophila_teissieri",1617062.32259273,0,533118.375900683,641484.652684222,0,952522.980984097,33034.4520703201,0
"128","Drosophila_triauraria",2143244.10894983,15323.9037521254,1156065.27126263,932209.201602161,518386.192835508,3662721.98483388,27195.2285495448,3571278.85947036
"129","Drosophila_tripunctata",6633105.91686367,11121.0032806853,2020638.48915439,2204994.7795104,617911.395948844,6408930.54604414,44617.1781144233,3268214.21054777
"131","Drosophila_varians",774390.463443787,0,747028.402064361,1255378.78177061,0,2851662.83750278,18503.4594528171,0
"132","Drosophila_virilis",1809918.1283113,13796.8705252715,1053948.74963681,803157.616232975,397503.285987419,3081504.10420128,20359.1050494942,2623053.13502327
"133","Drosophila_vulcana",1149228.29773899,0,410573.184395844,477769.889133266,0,860741.082102488,31549.7620221361,8298.2219223777
"134","Drosophila_yakuba",2152030.73095769,0,624159.80622787,869264.587476128,0,1584637.92960003,32714.1738247776,0
"143","Zaprionus_bogoriensis",4900745.19579609,0,1161075.69097487,2050716.63468743,1227.67195633718,6685197.21072373,36580.3657702886,1898.88498640414
"144","Zaprionus_ghesquierei",2534100.7699959,0,706219.376349072,1106594.5561678,0,2461461.8740788,33053.0519865501,0
"145","Zaprionus_indianus",4467418.27052955,0,856169.654451055,1270499.0344623,1520.00848032434,3852677.79824011,39473.8020767297,49219.8271005954
"147","Zaprionus_kolodkinae",7348846.07836112,0,1310506.71082679,2743779.88782245,4302.11411767237,10759648.7643531,39156.3667869844,80962.9694848573
"149","Zaprionus_sepsoides",3356156.70246389,0,1021548.5844759,1692072.82562246,0,4814688.01348485,33053.0519865501,0
"150","Zaprionus_taronus",1196714.17112964,0,423112.475463833,496074.486620529,0,880332.388416638,30583.2026340551,8380.84175476202
"151","Zaprionus_tsacasi",1752053.99385028,0,663679.411966464,1103626.67672412,0,2238916.09753497,25672.3949581129,0
"152","Zaprionus_tuberculatus",1876326.93105338,0,544925.583633651,636014.95223844,0,1134769.78030199,34884.4499298362,2849.17889202959
