"","Species","area_mkm2","latmean","latmax","latmin","latrange","Subgenus","TMax","TMin","MbDNA_Male","MbDNA_Female"
"1","Drosophila_affinis",25.6031165158525,2.94019400878833,83.5833333333333,-84.25,167.833333333333,"Sophophora",31.19,-3.73,165.6,168.7
"2","Drosophila_anceps",6.1202442816034,-5.49384787472035,43.4166666666667,-48.0833333333333,91.5,"Drosophila",29.71,7.4,171.8,159.1
"3","Drosophila_arizonae",31.9167484689643,-2.54192117850689,48.4166666666667,-48.0833333333333,96.5,"",34.07,7.01,203.1,192.9
"4","Drosophila_auraria",11.8717214688593,7.99557339807123,83.5833333333333,-84.25,167.833333333333,"Sophophora",28.5,-4.56,231,218.7
"5","Drosophila_azteca",9.49456060598244,-4.36173433932294,63.0833333333333,-52.4166666666667,115.5,"Sophophora",29.73,2.65,207.4,199.5
"6","Drosophila_bipectinata",17.258548810075,-1.09462419292713,32.5833333333333,-31.4166666666667,64,"Sophophora",32.7,13.44,192.1,191.6
"7","Drosophila_birchii",4.89900839672076,-3.10790942999016,39.0833333333333,-34.4166666666667,73.5,"Sophophora",30.19,11.62,175.9,175.3
"8","Drosophila_bunnanda",5.43379304403303,-1.63407693585908,32.4166666666667,-30.25,62.6666666666667,"",30.95,15.29,298,303.1
"9","Drosophila_busckii",6.03144839094611,4.90447626418989,83.5833333333333,-84.25,167.833333333333,"",26.91,-1.55,227.6,229.3
"10","Drosophila_buzzatii",8.10558950164184,-5.50685425685425,49.9166666666667,-48.0833333333333,98,"Drosophila",30.13,6.72,257.8,261.5
"11","Drosophila_cardini",5.32031211511435,-3.1687577692097,39.0833333333333,-34.4166666666667,73.5,"Drosophila",30.29,11.54,259.5,259.3
"12","Drosophila_diplacantha",4.64022503054315,-0.73334187596104,24.25,-23.9166666666667,48.1666666666667,"",31.46,18.83,253.1,260.1
"13","Drosophila_emarginata",0.911055667979095,-0.682948765661824,28.9166666666667,-30.25,59.1666666666667,"Sophophora",28.75,15.1,196,192.4
"14","Drosophila_equinoxialis",4.20771651983114,-0.980968904669674,26.0833333333333,-23.9166666666667,50,"Sophophora",31.23,18.26,249.3,252.7
"15","Drosophila_erecta",5.13873464208396,-1.72734457323498,32.4166666666667,-30.25,62.6666666666667,"Sophophora",30.85,15.07,202.5,206
"16","Drosophila_eugracilis",13.7715839547107,-0.502016211737098,28.25,-30.25,58.5,"Sophophora",32.56,15.86,191.6,194.9
"17","Drosophila_ezoana",8.13186946245446,30.2556306885381,83.5833333333333,-84.25,167.833333333333,"Drosophila",22.66,-14.61,224.3,226.9
"18","Drosophila_funebris",5.03242657950861,12.8509168777898,83.5833333333333,-84.25,167.833333333333,"Drosophila",23.94,-5.26,194.3,187.7
"19","Drosophila_greeni",10.3969093959055,-0.828420176841003,28.25,-30.25,58.5,"Sophophora",31.95,16.17,199.3,195.5
"20","Drosophila_guttifera",33.517909161398,0.654566878689426,83.5833333333333,-84.25,167.833333333333,"Drosophila",32.21,-1.93,198.1,199.2
"21","Drosophila_hydei",5.13746366222217,2.85601664294318,67.5833333333333,-55.9166666666667,123.5,"Drosophila",27.04,-0.12,211.8,210.2
"22","Drosophila_immigrans",5.1439933623538,3.42452992381056,67.5833333333333,-55.9166666666667,123.5,"Sophophora",26.94,-0.32,221.8,221.1
"23","Drosophila_kanekoi",9.36171844696083,15.7636392244092,83.5833333333333,-84.25,167.833333333333,"Drosophila",26.41,-7.21,242.4,245.7
"24","Drosophila_kikkawai",12.4359902257057,-3.61138133606402,39.75,-35.9166666666667,75.6666666666667,"Sophophora",31.35,9.91,224.6,237.3
"25","Drosophila_littoralis",4.45166266253094,15.2838758701834,83.5833333333333,-84.25,167.833333333333,"Sophophora",22.46,-7.01,219.1,212.1
"26","Drosophila_lutescens",11.408197622147,3.84617582665251,83.5833333333333,-84.25,167.833333333333,"Sophophora",28.97,-2.45,221.1,219.8
"27","Drosophila_malerkotliana",15.6042359824133,-1.20369928918169,32.5833333333333,-31.4166666666667,64,"Sophophora",32.39,13.5,181.1,186.4
"28","Drosophila_mauritiana",2.32876219568037,-1.62770185131336,28.25,-30.25,58.5,"Sophophora",30.17,16.57,286.1,287
"29","Drosophila_melanica",35.5869623515559,0.640111568295249,83.5833333333333,-84.25,167.833333333333,"Drosophila",32.43,-1.96,184.4,184.5
"30","Drosophila_melanogaster",6.25967204644873,0.688642257107817,67.4166666666667,-55.9166666666667,123.333333333333,"Sophophora",28,0.52,330.9,325
"31","Drosophila_mercatorum",3.71882785749797,-4.74322154834106,39.9166666666667,-40.4166666666667,80.3333333333333,"Drosophila",29.14,9.03,261.8,260.4
"32","Drosophila_mojavensis",38.7595438666613,-2.6970642409816,57.5833333333333,-48.0833333333333,105.666666666667,"Drosophila",35.06,5.49,208.1,184.8
"33","Drosophila_montana",8.94384048678207,26.5150079280967,83.5833333333333,-84.25,167.833333333333,"Drosophila",24.09,-12.11,205.2,194.2
"34","Drosophila_nannoptera",6.28516431548888,-4.77069693769799,42.5833333333333,-48.0833333333333,90.6666666666667,"Drosophila",30.02,8.7,179,168.7
"35","Drosophila_nasuta",17.2403561641421,-1.24346136259716,33.0833333333333,-31.5833333333333,64.6666666666667,"Drosophila",32.59,13.01,211.9,199.6
"36","Drosophila_navojoa",25.1071053591957,-1.11927893933493,32.5833333333333,-31.5833333333333,64.1666666666667,"Drosophila",34.81,13.14,197.1,167.7
"37","Drosophila_orena",1.53494496291538,-1.75007350238882,26.0833333333333,-26.4166666666667,52.5,"Sophophora",29.93,17.23,256.7,252.4
"38","Drosophila_pallidosa",0.0782442323592313,-3.94396551724137,16.75,-22.0833333333333,38.8333333333333,"Sophophora",29.26,20.21,297.4,280.4
"39","Drosophila_parabipectinata",10.9396729564414,-0.230040353872413,27.0833333333333,-25.0833333333333,52.1666666666667,"",32.56,17.83,191.2,190.4
"40","Drosophila_paulistorum",2.90298849704786,-1.55256709451575,28.25,-30.25,58.5,"Sophophora",30.45,16.8,245,226.6
"41","Drosophila_persimilis",7.13939301471012,4.90851412822108,83.5833333333333,-84.25,167.833333333333,"Sophophora",27.34,-2.2,273.2,270.4
"42","Drosophila_phalerata",3.16271977275736,8.40186034127481,83.5833333333333,-84.25,167.833333333333,"Sophophora",22.63,-3.73,224.8,211.5
"43","Drosophila_pseudoananassae",5.09108687010681,-1.17338530561478,28.25,-26.4166666666667,54.6666666666667,"Sophophora",31.14,17,238.3,232.5
"44","Drosophila_repleta",5.89266342669056,-5.99266595289079,63.0833333333333,-50.9166666666667,114,"Drosophila",28.8,3.6,184.2,184.8
"45","Drosophila_robusta",22.0731280545123,7.25829139860289,83.5833333333333,-84.25,167.833333333333,"Drosophila",30.48,-5.57,280.7,280.7
"46","Drosophila_rufa",13.7746577681528,0.251334122841645,67.5833333333333,-55.9166666666667,123.5,"Sophophora",30.08,-0.04,180.6,178.9
"47","Drosophila_santomea",0.0695600640997162,-1.52073170731707,21.5833333333333,-23.25,44.8333333333333,"",28.36,18.66,165,162.9
"48","Drosophila_sechellia",0,NA,-Inf,Inf,Inf,"Sophophora",29.7,23.47,164.9,162.6
"49","Drosophila_serrata",6.16534820893008,-4.5993323255228,39.75,-40.4166666666667,80.1666666666667,"Sophophora",30.09,9.27,168.9,163.8
"50","Drosophila_simulans",4.77040608074386,-7.17458119201762,59.0833333333333,-50.5833333333333,109.666666666667,"Sophophora",28.52,4.41,174.5,172.1
"51","Drosophila_sordidula",10.5729699549927,14.6136360084089,83.5833333333333,-84.25,167.833333333333,"Drosophila",27.16,-6.94,237.8,237.8
"52","Drosophila_suzukii",11.2397851697182,4.75737042320495,83.5833333333333,-84.25,167.833333333333,"Sophophora",28.77,-2.98,229.6,231.9
"53","Drosophila_teissieri",4.4925960264907,-1.66061873539829,32.4166666666667,-30.25,62.6666666666667,"Sophophora",30.76,15.63,212.7,208.3
"54","Drosophila_triauraria",13.4011834915068,7.50173457928933,83.5833333333333,-84.25,167.833333333333,"Sophophora",28.96,-4.55,274,274.1
"55","Drosophila_tripunctata",23.7733368038042,0.946471398629897,83.5833333333333,-84.25,167.833333333333,"Drosophila",31.22,-1.9,218.5,217.9
"56","Drosophila_varians",7.29564918293593,-0.217127947069234,24.5833333333333,-23.4166666666667,48,"Sophophora",32.3,19.42,221.8,215.9
"57","Drosophila_virilis",10.9958402533185,5.23718955210455,83.5833333333333,-84.25,167.833333333333,"Drosophila",28.63,-3.2,213,208.9
"58","Drosophila_vulcana",3.23381210812372,-2.47948571031704,38.75,-34.4166666666667,73.1666666666667,"Sophophora",29.77,12.43,223.6,215.5
"59","Drosophila_yakuba",6.3068254794227,-1.36955314269332,28.25,-30.25,58.5,"Sophophora",31.22,15.97,224,224
"60","Zaprionus_bogoriensis",17.2028368302982,-1.00506112661661,32.5833333333333,-31.4166666666667,64,"",32.76,13.71,219,219.8
"61","Zaprionus_ghesquierei",8.14526438209108,-1.21840731795341,28.25,-30.25,58.5,"",31.52,16.02,244.7,250.1
"62","Zaprionus_indianus",11.9381669929325,-3.41511560341515,39.5833333333333,-35.9166666666667,75.5,"",31.35,10.42,264.5,266.4
"63","Zaprionus_kolodkinae",25.1464392318148,-1.73343345955034,39.0833333333333,-34.4166666666667,73.5,"",34.05,11.75,215.1,211.3
"64","Zaprionus_sepsoides",12.9253606613502,-0.576242622950815,28.25,-30.25,58.5,"",32.39,15.92,251.6,244.3
"65","Zaprionus_taronus",3.35425199687062,-2.45783939454825,38.5833333333333,-34.4166666666667,73,"",29.86,12.6,257.2,253.3
"66","Zaprionus_tsacasi",7.14632540815265,-0.703305758929981,26.0833333333333,-24.75,50.8333333333333,"",31.71,17.91,251.9,256.9
"67","Zaprionus_tuberculatus",4.83699201341171,-2.21833984920413,32.5833333333333,-31.4166666666667,64,"",30.51,13.55,206.8,208.3
